INSTANCE	ITERATION	MAXIMUM CLIQUE	RUNTIME

C1000.9.clq	1	55	30.49
C1000.9.clq	2	55	31.83
C1000.9.clq	3	54	42.78
C1000.9.clq	4	57	17.82
C1000.9.clq	5	53	17.86
C1000.9.clq	6	52	25.38
C1000.9.clq	7	55	25.54
C1000.9.clq	8	54	36.81
C1000.9.clq	9	56	26.24
C1000.9.clq	10	52	26.14
C1000.9.clq	11	53	30.71
C1000.9.clq	12	52	18.27
C1000.9.clq	13	52	24.28
C1000.9.clq	14	58	31.69
C1000.9.clq	15	53	30.24
C1000.9.clq	16	52	31.06
C1000.9.clq	17	53	24.19
C1000.9.clq	18	55	31.51
C1000.9.clq	19	56	30.66
C1000.9.clq	20	53	31.96
C1000.9.clq	21	53	48.90
C1000.9.clq	22	58	30.84
C1000.9.clq	23	56	24.86
C1000.9.clq	24	56	36.46
C1000.9.clq	25	53	25.13
C1000.9.clq	26	53	30.25
C1000.9.clq	27	53	18.19
C1000.9.clq	28	53	18.73
C1000.9.clq	29	56	31.07
C1000.9.clq	30	50	17.84
C1000.9.clq	31	54	24.65
C1000.9.clq	32	53	25.02
C1000.9.clq	33	54	38.61
C1000.9.clq	34	53	25.20
C1000.9.clq	35	52	24.27
C1000.9.clq	36	53	30.24
C1000.9.clq	37	54	31.62
C1000.9.clq	38	51	17.96
C1000.9.clq	39	53	18.34
C1000.9.clq	40	55	26.26
C1000.9.clq	41	54	18.65
C1000.9.clq	42	54	19.54
C1000.9.clq	43	53	19.06
C1000.9.clq	44	51	18.25
C1000.9.clq	45	52	20.25
C1000.9.clq	46	57	45.28
C1000.9.clq	47	53	19.28
C1000.9.clq	48	52	32.96
C1000.9.clq	49	52	31.65
C1000.9.clq	50	53	22.34
C1000.9.clq	51	53	35.22
C1000.9.clq	52	55	19.66
C1000.9.clq	53	53	30.64
C1000.9.clq	54	55	19.17
C1000.9.clq	55	52	19.27
C1000.9.clq	56	54	19.19
C1000.9.clq	57	57	36.13
C1000.9.clq	58	51	18.38
C1000.9.clq	59	55	18.88
C1000.9.clq	60	52	36.10
C1000.9.clq	61	52	30.37
C1000.9.clq	62	52	18.35
C1000.9.clq	63	53	18.70
C1000.9.clq	64	57	24.90
C1000.9.clq	65	50	17.17
C1000.9.clq	66	54	18.06
C1000.9.clq	67	52	18.06
C1000.9.clq	68	54	24.43
C1000.9.clq	69	55	38.06
C1000.9.clq	70	53	18.69
C1000.9.clq	71	55	24.79
C1000.9.clq	72	52	18.40
C1000.9.clq	73	51	22.99
C1000.9.clq	74	52	18.40
C1000.9.clq	75	54	30.40
C1000.9.clq	76	51	23.67
C1000.9.clq	77	53	36.43
C1000.9.clq	78	53	18.50
C1000.9.clq	79	53	24.09
C1000.9.clq	80	51	17.39
C1000.9.clq	81	54	31.54
C1000.9.clq	82	53	30.47
C1000.9.clq	83	55	18.74
C1000.9.clq	84	53	29.56
C1000.9.clq	85	52	16.93
C1000.9.clq	86	54	23.96
C1000.9.clq	87	54	30.32
C1000.9.clq	88	53	42.11
C1000.9.clq	89	53	20.68
C1000.9.clq	90	55	28.60
C1000.9.clq	91	53	24.49
C1000.9.clq	92	52	18.98
C1000.9.clq	93	55	31.21
C1000.9.clq	94	55	24.77
C1000.9.clq	95	52	17.58
C1000.9.clq	96	55	19.03
C1000.9.clq	97	55	18.39
C1000.9.clq	98	56	31.83
C1000.9.clq	99	53	36.64
C1000.9.clq	100	54	41.77
