INSTANCE	ITERATION	MAXIMUM CLIQUE	RUNTIME

p_hat300-1.clq	1	6	0.11
p_hat300-1.clq	2	8	0.09
p_hat300-1.clq	3	7	0.11
p_hat300-1.clq	4	6	0.07
p_hat300-1.clq	5	7	0.07
p_hat300-1.clq	6	8	0.08
p_hat300-1.clq	7	8	0.09
p_hat300-1.clq	8	8	0.11
p_hat300-1.clq	9	8	0.07
p_hat300-1.clq	10	7	0.07
p_hat300-1.clq	11	8	0.12
p_hat300-1.clq	12	6	0.07
p_hat300-1.clq	13	7	0.07
p_hat300-1.clq	14	7	0.07
p_hat300-1.clq	15	8	0.11
p_hat300-1.clq	16	7	0.07
p_hat300-1.clq	17	7	0.09
p_hat300-1.clq	18	8	0.07
p_hat300-1.clq	19	7	0.07
p_hat300-1.clq	20	7	0.10
p_hat300-1.clq	21	7	0.07
p_hat300-1.clq	22	7	0.07
p_hat300-1.clq	23	7	0.09
p_hat300-1.clq	24	6	0.06
p_hat300-1.clq	25	7	0.07
p_hat300-1.clq	26	7	0.06
p_hat300-1.clq	27	8	0.06
p_hat300-1.clq	28	8	0.16
p_hat300-1.clq	29	7	0.13
p_hat300-1.clq	30	7	0.07
p_hat300-1.clq	31	7	0.13
p_hat300-1.clq	32	8	0.11
p_hat300-1.clq	33	8	0.09
p_hat300-1.clq	34	6	0.07
p_hat300-1.clq	35	7	0.09
p_hat300-1.clq	36	8	0.07
p_hat300-1.clq	37	7	0.11
p_hat300-1.clq	38	6	0.06
p_hat300-1.clq	39	7	0.10
p_hat300-1.clq	40	8	0.07
p_hat300-1.clq	41	6	0.08
p_hat300-1.clq	42	6	0.06
p_hat300-1.clq	43	7	0.06
p_hat300-1.clq	44	7	0.07
p_hat300-1.clq	45	6	0.06
p_hat300-1.clq	46	7	0.10
p_hat300-1.clq	47	7	0.09
p_hat300-1.clq	48	7	0.07
p_hat300-1.clq	49	7	0.10
p_hat300-1.clq	50	7	0.14
p_hat300-1.clq	51	7	0.06
p_hat300-1.clq	52	7	0.09
p_hat300-1.clq	53	7	0.10
p_hat300-1.clq	54	7	0.11
p_hat300-1.clq	55	8	0.11
p_hat300-1.clq	56	7	0.11
p_hat300-1.clq	57	7	0.07
p_hat300-1.clq	58	8	0.06
p_hat300-1.clq	59	8	0.11
p_hat300-1.clq	60	7	0.07
p_hat300-1.clq	61	7	0.12
p_hat300-1.clq	62	8	0.11
p_hat300-1.clq	63	7	0.06
p_hat300-1.clq	64	8	0.12
p_hat300-1.clq	65	7	0.12
p_hat300-1.clq	66	6	0.06
p_hat300-1.clq	67	7	0.10
p_hat300-1.clq	68	6	0.06
p_hat300-1.clq	69	7	0.07
p_hat300-1.clq	70	6	0.07
p_hat300-1.clq	71	8	0.11
p_hat300-1.clq	72	7	0.06
p_hat300-1.clq	73	8	0.10
p_hat300-1.clq	74	6	0.06
p_hat300-1.clq	75	7	0.10
p_hat300-1.clq	76	7	0.07
p_hat300-1.clq	77	7	0.09
p_hat300-1.clq	78	8	0.07
p_hat300-1.clq	79	7	0.06
p_hat300-1.clq	80	7	0.07
p_hat300-1.clq	81	7	0.06
p_hat300-1.clq	82	7	0.07
p_hat300-1.clq	83	7	0.09
p_hat300-1.clq	84	7	0.07
p_hat300-1.clq	85	7	0.06
p_hat300-1.clq	86	7	0.06
p_hat300-1.clq	87	7	0.09
p_hat300-1.clq	88	8	0.06
p_hat300-1.clq	89	6	0.06
p_hat300-1.clq	90	8	0.12
p_hat300-1.clq	91	8	0.06
p_hat300-1.clq	92	6	0.07
p_hat300-1.clq	93	7	0.07
p_hat300-1.clq	94	7	0.06
p_hat300-1.clq	95	7	0.11
p_hat300-1.clq	96	7	0.08
p_hat300-1.clq	97	7	0.06
p_hat300-1.clq	98	7	0.06
p_hat300-1.clq	99	7	0.09
p_hat300-1.clq	100	7	0.06
